결정례일련번호,구분,문장번호,내용
172459,전문,1,사           건          2022헌마340    재판취소
172459,전문,2,청    구    인          김○○○
172459,전문,3,[주           문]
172459,전문,4,이 사건 심판청구를 각하한다.[이           유]
172459,전문,5,1.사건개요
172459,전문,6,"가.청구인은 서울특별시 강북구청장을 상대로, 주위적으로 위 구청장이 청구인에게 한 자동차 등록번호판 영치처분의 무효확인을, 예비적으로 그 취소를 구하는 소를 제기하였는데, 서울행정법원은 2021.1.21."
172459,전문,7,"위 소 중 예비적 청구 부분을 각하하고, 청구인의 주위적 청구를 기각하는 판결을 선고하였다(서울행정법원 2020구합1001)."
172459,전문,8,"나.청구인은 이에 불복하여 항소하였는데, 항소심 법원은 항소심 법원 사무관이 청구인의 항소장에 관하여 청구인에게 인지대 및 송달료에 관한 2021.7.19.자 보정명령을 하였으나 청구인이 위 명령에서 정한 기간 이내에 이를 이행하지 아니한 사실을 인정할 수 있다고 본 뒤, 2021.10.14."
172459,전문,9,청구인의 항소를 각하하는 판결을 선고하였다(서울고등법원 2021누37948).
172459,전문,10,"다.청구인은 상고하였으나, 대법원은 2022.2.24."
172459,전문,11,상고를 심리불속행 기각하였다(대법원 2021두58035).
172459,전문,12,"라.청구인은 위 서울고등법원 2021누37948 판결이 대법원 판례에 어긋나는 등의 이유로 위법한 판결에 해당하므로 이는 파기, 환송되어야 함에도, 이와 달리 위 서울고등법원 2021누37948 판결에 대한 청구인의 상고를 심리불속행 기각한 대법원 2021두58035 판결은 청구인의 기본권을 침해한 것으로서 취소되어야 한다고 주장하며 2022.3.18."
172459,전문,13,이 사건 헌법소원심판을 청구하였다.
172459,전문,14,2.판단
172459,전문,15,"헌법재판소법 제68조 제1항 본문은 ""공권력의 행사 또는 불행사로 인하여 헌법상 보장된 기본권을 침해받은 자는 법원의 재판을 제외하고는 헌법재판소에 헌법소원심판을 청구할 수 있다.""고 규정하고 있으므로 원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니하고, 다만 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있다(헌재 2016.4.28."
172459,전문,16,2016헌마33 참조).
172459,전문,17,그런데 청구인이 다투는 대법원 2021두58035 판결은 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 해당하지 않으므로 예외적으로 헌법소원심판의 대상이 될 수 있는 법원의 재판에 해당하지 아니한다.
172459,전문,18,3.결론
172459,전문,19,"그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
