결정례일련번호,구분,문장번호,내용
163183,전문,1,사		건	2020헌마1728    낚시 관리 및 육성법 제29조 제3항 위헌확인
163183,전문,2,청	구	인	유○○○
163183,전문,3,[주           문]
163183,전문,4,이 사건 심판청구를 각하한다.
163183,전문,5,[이           유]
163183,전문,6,1.사건개요
163183,전문,7,"청구인은, 낚시 관리 및 육성법 제29조 제3항이 선상 낚시를 하기 위해서는 구명조끼를 착용하여야 하는 것으로 정하고 있는데 이는 헌법 제10조의 행복추구권을 과도하게 제한하는 것이고 헌법 제34조 제6항에서 정한 국가가 재해를 예방할 의무를 다하지 못하고 있는 것이므로 위헌이라고 주장하면서, 2020.12.29."
163183,전문,8,이 사건 헌법소원심판을 청구하였다.
163183,전문,9,2.심판대상
163183,전문,10,이 사건 심판대상은 낚시 관리 및 육성법(2016.5.29.
163183,전문,11,법률 제14240호로 개정된 것)제29조 제3항이 청구인의 기본권을 침해하는지 여부이다.
163183,전문,12,[심판대상조항]
163183,전문,13,낚시 관리 및 육성법(2016.5.29.
163183,전문,14,법률 제14240호로 개정된 것)제29조(낚시어선업자 등의 안전운항 의무 등)③ 낚시어선업자 및 선원은 안전운항을 위하여 낚시어선에 승선한 승객 등 승선자 전원에게 구명조끼를 착용하도록 하여야 한다.이 경우 승객이 구명조끼를 착용하지 아니하면 승선을 거부할 수 있다.
163183,전문,15,3.판단
163183,전문,16,"헌법 제34조 제6항은 재해방지와 같은 국가활동의 목표를 제시하거나 이를 위한 객관적 의무만을 국가에 부과하고 있을 뿐, 개인에게 국가에 대하여 사회보장·사회복지 또는 재해 예방 등과 관련한 적극적 급부의 청구권을 부여하고 있다거나 그것에 관한 입법적 위임을 하고 있다고 보기 어렵다(헌재 2003.7.24."
163183,전문,17,2002헌바51).
163183,전문,18,"따라서 이 조항에 기한 기본권의 침해 가능성이 있다고 볼 수는 없다.아래에서는 행복추구권에 대한 기본권침해 가능성을 중심으로 살핀다.심판대상조항 전문은 낚시인의 안전사고 등을 방지하기 위하여 낚시어선업자 및 선원으로 하여금 낚시어선에 승선한 승선자 전원에게 구명조끼를 착용하도록 하여야 하는 것으로 규정하고 있어, 그 적용대상은 낚시어선업자 및 선원이다.청구인은 선상 낚시를 취미로 하는 사람일 뿐이어서 심판대상조항으로 구명조끼를 착용하여야 낚시어선에 승선할 수 있기는 하겠으나 이는 심판대상조항에 관하여 단순히 경미한 간접적, 사실적, 경제적 이해관계가 있는 것이어서 청구인이 이 부분 조항에 대하여 기본권침해의 자기관련성이 인정된다고 볼 수 없다.심판대상조항 후문은 승객이 구명조끼를 착용하지 아니하면 낚시어선업자 등이 승선을 거부할 수 있다고 규정하고 있을 뿐이어서 기본권침해의 직접성이 인정된다고 보이지 않는다."
163183,전문,19,4.결론
163183,전문,20,"이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
