결정례일련번호,구분,문장번호,내용
55159,전문,1,사 건 2017헌마540 교도소내 부당처우행위 위헌확인
55159,전문,2,청 구 인 김 ○ 상
55159,전문,3,[주 문]
55159,전문,4,이 사건 심판청구를 각하한다.[이 유]
55159,전문,5,1.사건개요
55159,전문,6,청구인은 ○○교도소에 수용 중이다.청구인은 2017.5.11.
55159,전문,7,"교도관이 공황장애를 앓고 있는 청구인 앞에서 인주 통으로 책상을 치면서 고함을 쳤고, 청구인의 팔을 꺾는 등 강제력을 행사하여 수갑을 채웠다고 주장하며, 2017.5.17."
55159,전문,8,위 행위들의 위헌확인을 구하는 이 사건 헌법소원심판을 청구하였다.
55159,전문,9,2.판단
55159,전문,10,헌법소원심판은 다른 법률에 구제절차가 있는 경우에는 그 절차를 모두 거친 후에 심판청구를 하여야 한다(헌법재판소법 제68조 제1항 단서).
55159,전문,11,"따라서 청구인으로서는 청구인이 주장하는 바와 같이 춘천교도소 교도관에 의한 범죄행위로 피해를 입었다면, 이를 수사기관에 고소하여 구제받을 수 있으므로, 위와 같은 구제절차를 거치지 아니한 채 곧바로 제기한 이 사건 심판청구는 보충성 요건을 흠결하여 부적법하다(헌재 2014.3.27."
55159,전문,12,2012헌마652 참조).
55159,전문,13,3.결론
55159,전문,14,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호에 의하여 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
