결정례일련번호,구분,문장번호,내용
150973,전문,1,사 건 2019헌마362 2019년 법학전문대학원 취약계층 장학금 지원사업 기본계획 중 기혼자 부모소득 반영 위헌확인
150973,전문,2,청 구 인 이○○○
150973,전문,3,[주 문]
150973,전문,4,이 사건 심판청구를 각하한다.[이 유]
150973,전문,5,1.사건개요
150973,전문,6,"청구인은 교육부의 2019년 법학전문대학원 취약계층 장학금 지원사업 기본계획(이하 ‘이 사건 기본계획’이라 한다)중 “국고지원장학금 지급의 판단기준이 되는 소득분위 산정작업 과정에서 기혼자의 재산에 부모의 소득을 반영한다” 부분이 친족의 행위로 인하여 불이익한 처우를 받지 아니한다고 정한 헌법 제13조 제3항 등에 위반된다고 주장하며, 2019.4.3."
150973,전문,7,위 부분의 위헌확인을 구하는 이 사건 헌법소원심판을 청구하였다.
150973,전문,8,2.판단
150973,전문,9,"헌법소원에서는 원칙적으로 공권력의 행사 또는 불행사의 직접 상대방만 자기관련성이 인정되고, 공권력 작용에 간접적이나 사실적 또는 경제적 이해관계가 있을 뿐인 제3자의 경우에는 자기관련성이 인정되지 않는다(헌재 2016.10.27."
150973,전문,10,2013헌마576 참조).
150973,전문,11,"이 사건 기본계획에 따르면 국고지원장학금 지원대상자는 ‘「국민기초생활보장법」에 따른 수급가구 및 차상위 가구이거나 사회보장정보시스템 소득구간 판정 결과가 3구간 이하인 경우’이다.이 사건 기본계획 중 기혼인 법학전문대학원 학생 부모의 재산을 판단기준으로 삼는 부분의 위헌성을 다투는 이 사건 헌법소원 심판 청구에서 자기관련성이 인정되려면, 법학전문대학원에 입학 또는 재학 중이면서 기혼이고 부모의 재산을 제외하면 ‘「국민기초생활보장법」에 따른 수급가구 및 차상위 가구이거나 사회보장정보시스템 소득구간 판정 결과가 3구간 이하인 경우’에 해당하여야 한다.그런데 청구인은 이에 해당하는지 소명을 요청하는 보정명령을 받았음에도 그 보정기간 말일까지 관련 자료를 제출하지 않았다.따라서 청구인은 이 사건에서 기본권침해에 직접 관련되어 있다고 볼 수 없다."
150973,전문,12,3.결론
150973,전문,13,이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여 주문과 같이 결정한다.
