결정례일련번호,구분,문장번호,내용
173031,전문,1,사　　　건　2022헌마473　헌법재판소 결정 취소
173031,전문,2,청　구　인　김○○○
173031,전문,3,[주           문]
173031,전문,4,이 사건 심판청구를 각하한다.
173031,전문,5,[이           유]
173031,전문,6,1.사건개요
173031,전문,7,가.청구인은 2022.2.23.
173031,전문,8,"헌법소원심판을 청구하였으나, 변호사를 대리인으로 선임하지 아니한 채 헌법소원심판을 청구하였고, 변호사를 대리인으로 선임하라는 보정명령을 받고도 보정기간 내에 보정하지 아니하였음을 이유로, 2022.4.12."
173031,전문,9,각하되었다( 2022헌바45).
173031,전문,10,"나.이에 청구인은 위 2022헌바45 사건과 관련하여 국선대리인선임신청을 하였고, 변호사를 대리인으로 선임하라는 보정명령을 받은 사실이 없다고 주장하면서, 2022.4.20."
173031,전문,11,위 2022헌바45 결정의 취소를 구하는 이 사건 헌법소원심판을 청구하였다.
173031,전문,12,2.판단
173031,전문,13,"가.헌법재판소법 제39조는 ‘헌법재판소는 이미 심판을 거친 동일한 사건에 대하여는 다시 심판할 수 없다’고 규정하고 있는바, 헌법재판소는 결정이 선고되면 동일한 심판에서 헌법재판소가 내린 결정을 더 이상 취소하거나 변경할 수 없고, 헌법재판소의 결정에 대해서는 상급심이 존재하지 않기 때문에 불복신청도 허용되지 아니하며, 불복신청이 허용되지 아니하므로 당사자는 확정된 당해 심판은 물론이고, 후행 심판에서 동일한 사항에 대하여 다시 심판을 청구할 수 없다.따라서 이미 헌법재판소가 심판한 사건에 대해서 다시 헌법소송을 제기하거나 헌법재판소 결정에 대해 불복을 하는 헌법소송을 제기하게 되면 이는 헌법소송의 요건을 갖추지 못한 것으로서 부적법 각하 결정을 면하지 못하게 될 것이다(헌재 2005.12.22."
173031,전문,14,2005헌마330 참조).
173031,전문,15,"또한, 헌법재판소의 결정에 대하여 재심을 청구하기 위해서는 헌법재판소법 제40조에 의하여 준용되는 민사소송법 제451조 제1항 각 호의 사유 중 헌법소원심판에 대한 재심의 성질상 허용되는 사유를 재심청구의 이유로 주장하여야 하고, 이에 해당하지 아니하는 사유를 들어 재심을 청구하면 그 심판청구는 부적법하다(헌재 2007.2.22."
173031,전문,16,2006헌아50; 헌재 2013.2.28.
173031,전문,17,2012헌아99 참조).
173031,전문,18,"나.청구인이 2022헌바45 사건과 관련하여 국선대리인선임신청(2022헌사154)을 하였으나, 위 신청은 헌법재판소법 제70조 제3항 단서에 해당하는 것으로 인정되어, 2022.3.29."
173031,전문,19,"기각되었다.또한 청구인은 변호사를 대리인으로 선임하라는 보정명령을 받은 사실이 없다고 주장하나, 위 2022헌바45 사건 기록을 살펴보건대 2022.3.30."
173031,전문,20,"청구인에게 변호사를 대리인으로 선임하라는 내용의 보정명령을 발송하였고, 청구인이 이를 수신한 것으로 확인되므로, 청구인의 이 부분 주장은 받아들일 수 없다.그렇다면 청구인의 이 사건 심판청구는 불복이 허용되지 않는 결정에 대한 심판청구에 해당한다.나아가 이 사건 심판청구를 위 2022헌바45 결정의 재심을 구하는 취지로 보더라도, 청구인은 민사소송법 제451조 제1항 각 호의 사유 중 헌법소원심판에 대한 재심의 성질상 허용되는 사유에 대한 주장을 하고 있지 않다.따라서 이 사건 심판청구는 부적법하다."
173031,전문,21,3.결론
173031,전문,22,그렇다면 이 사건 심판청구를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
