결정례일련번호,구분,문장번호,내용
172701,전문,1,사           건          2022헌마37    대체역의 편입 및 복무 등에 관한 법률 제16조 제1항 등 위헌확인
172701,전문,2,청    구    인          임○○○
172701,전문,3,대리인   변호사 이○
172701,전문,4,[주           문]
172701,전문,5,이 사건 심판청구를 모두 각하한다.[이           유]
172701,전문,6,1.사건개요
172701,전문,7,가.청구인은 종교적 신념에 따른 병역거부자로서 2020.8.14.
172701,전문,8,"대체역의 편입 및 복무 등에 관한 법률에 따른 대체역에 편입되었고, 2021.4.12."
172701,전문,9,○○대체복무교육센터에 입교한 뒤 같은 달 30.부터 ○○구치소 대체복무팀에서 대체복무요원으로 복무 중이다.
172701,전문,10,"나.청구인은 대체복무요원의 복무기간, 복무형태, 처우 등을 규정한 대체역의 편입 및 복무 등에 관한 법률, 동법 시행령 및 대체역 복무관리규칙(이하 순서대로 ‘대체역법’, ‘대체역법 시행령’ 및 ‘복무규칙’이라 하고, 이들을 함께 지칭할 때에는 ‘대체역법 등’이라 한다), 병역법 및 동법 시행령 규정들이 청구인의 기본권을 침해한다며 2022.1.14."
172701,전문,11,그 위헌확인을 구하는 이 사건 헌법소원심판을 청구하였다.
172701,전문,12,2.판단
172701,전문,13,가.병역법 및 동법 시행령 부분에 관한 판단
172701,전문,14,"청구인은 신체등급의 판정과 병역처분, 상근예비역소집의 대상과 선발, 사회복무요원의 복무기간, 복무 및 보수, 병역처분의 변경 등을 규정한 병역법 제12조, 제14조, 제21조, 제30조, 제31조, 제65조 제3항 및 동법 시행령 제61조가 자신의 기본권을 침해한다고 주장하나, 이들 규정은 대체역의 편입과 복무에 관한 사항을 규율하지 않고 단지 대체역법 등에 관하여 평등권 침해를 주장하기 위해 비교대조군으로 설정된 것에 불과하다.따라서 이 부분 심판청구는 기본권 침해의 자기관련성을 인정할 수 없다."
172701,전문,15,나.대체역법 등 부분에 관한 판단
172701,전문,16,"법령에 대한 헌법소원은 법률의 시행과 동시에 기본권의 침해를 받게 되는 경우에는 그 법률이 시행된 사실을 안 날부터 90일 이내에, 법률이 시행된 날부터 1년 이내에 헌법소원을 청구하여야 하고, 법률이 시행된 뒤에 비로소 그 법률에 해당되는 사유가 발생하여 기본권의 침해를 받게 되는 경우에는 그 사유가 발생하였음을 안 날부터 90일 이내에, 그 사유가 발생한 날부터 1년 이내에 헌법소원을 청구하여야 한다(헌재 2012.6.27."
172701,전문,17,2010헌마716 참조).
172701,전문,18,"청구인이 대체역법 등 조항들에 대하여 기본권 침해를 주장하는 사유를 항목별로 살펴보면 ① 대체복무요원의 복무기간, 업무, 복무기관, 배치 및 보수를 비롯한 복무형태에 관한 사항(대체역법 제16조 제1항, 제18조 제1항, 제21조 제2항, 대체역법 시행령 제18조, 제27조), ② 휴가 사용 및 허가에 관한 사항(대체역법 시행령 제32조, 복무규칙 제22조), ③ 전보에 관한 사항(복무규칙 제7조), ④ 외출에 관한 사항(복무규칙 제19조), ⑤ 치료에 관한 사항(복무규칙 제43조), ⑥ 정보화실 및 개인용 정보통신기기 관리에 관한 사항(복무규칙 제67조, 제68조)으로 구분할 수 있다.그런데 법무부장관의 사실조회회보를 청구인이 제출한 보정서와 대조하여 살펴보면, 청구인은 2021.4.12."
172701,전문,19,"○○대체복무교육센터에 입교한 뒤 같은 달 13.위 ①, ④항에 관한 교육을, 같은 달 14.⑤항에 관한 교육을, 같은 달 15.②, ③항에 관한 교육을, 같은 달 20.⑥항에 관한 교육을 이수한 사실이 인정된다.그렇다면 청구인은 늦어도 2021.4.20.경에는 이 사건 심판청구에서 주장하는 대체역법 등으로 인한 기본권침해 사실을 알았다고 봄이 상당하다.따라서 그로부터 90일이 경과한 이후인 2022.1.14."
172701,전문,20,제기된 이 부분 심판청구는 청구기간을 도과하였다.
172701,전문,21,3.결론
172701,전문,22,"그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제2호 및 제4호에 따라 이를 모두 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
