결정례일련번호,구분,문장번호,내용
182769,전문,1,【당 사 자】
182769,전문,2,사		건	2023헌마636    재판취소
182769,전문,3,청	구	인	1.김○○○
182769,전문,4,2.박○○○
182769,전문,5,3.이○○○
182769,전문,6,"청구인들 대리인   법무법인(유한)한○ 현○, 장○, 박○, 오○ 정○, 황○, 김○, 이○, 김○, 김○ 환○, 김○"
182769,전문,7,결	정	일	2023.5.16.
182769,전문,8,【주 문】
182769,전문,9,이 사건 심판청구를 모두 각하한다.【이 유】
182769,전문,10,"헌법재판소법 제68조 제1항 본문에 따르면 원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니한다.다만, 헌법재판소가 위헌으로 결정한 법령을 적용하거나, 법률에 대한 위헌결정의 기속력에 반함으로써 국민의 기본권을 침해한 재판인 경우에는 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있다(헌재 1997.12.24."
182769,전문,11,96헌마172; 헌재 2016.4.28.
182769,전문,12,2016헌마33; 헌재 2022.6.30.
182769,전문,13,2014헌마760등 참조).
182769,전문,14,청구인들은 수원고등법원 2022.9.28.
182769,전문,15,"선고 2022나13625 판결 및 대법원 2023.2.2.자 2022다288232 판결의 취소를 구하고 있다.그런데 청구인들이 다투는 위 각 판결은 헌법재판소가 위헌으로 결정한 법령을 적용하거나, 법률에 대한 위헌결정의 기속력에 반함으로써 국민의 기본권을 침해한 재판이라 할 수 없고, 따라서 예외적으로 헌법소원의 대상이 되는 법원의 재판에 해당하지 아니하므로, 이에 대한 헌법소원심판청구는 허용될 수 없다.그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단에 따라 이를 모두 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
182769,전문,16,"재판장,김○,이○,김○"
