결정례일련번호,구분,문장번호,내용
151537,전문,1,사 건 2019헌마627 소하천정비법 시행령 제4조 제5항 등 위헌확인
151537,전문,2,청 구 인 김○○○
151537,전문,3,[주 문]
151537,전문,4,이 사건 심판청구를 각하한다.[이 유]
151537,전문,5,1.사건개요
151537,전문,6,"가.청구인은 소하천정비종합계획(변경)고시(가곡천, 간무곡천, 일야미천)(원주시 고시 제2015-207호, 2015.10.28."
151537,전문,7,")(이하 ‘이 사건 고시’라 한다)와 관련하여, 원주시장이 이 사건 고시와 소하천예정지의 지정ㆍ변경ㆍ폐지에 관한 세부목록을 원주시 공보 또는 게시판에 게시하지 아니한 부작위 및 이와 관련한 청구인의 정보공개청구를 각하한 결정이 모두 위법하다고 주장하면서 부작위위법확인소송을 제기하였으나, 1심 법원은 청구인의 소를 각하하였고(춘천지방법원 2018.4.17."
151537,전문,8,"선고 2017구합518 판결), 항소 및 상고도 모두 기각되었다[서울고등법원 2019.1.14."
151537,전문,9,"선고 (춘천)2018누482 판결, 대법원 2019.5.10."
151537,전문,10,"선고 2019두33874 판결, 이하 모두 합하여 ‘이 사건 판결들’이라 한다]."
151537,전문,11,나.이에 청구인은 소하천정비법 시행령(2010.10.1.
151537,전문,12,"대통령령 제22418호로 개정된 것, 이하 같다)제4조 제5항, 구 소하천정비법 시행규칙(2012.3.5."
151537,전문,13,"행정안전부령 제285호로 개정되고, 2016.9.8."
151537,전문,14,"총리령 제1321호로 개정되기 전의 것, 이하 같다)제2조 제2항, 소하천정비법 시행규칙(2016.9.8."
151537,전문,15,"총리령 제1321호로 개정된 것, 이하 같다)제2조 제5항(이하 모두 합하여 ‘이 사건 조항들’이라 한다)이 청구인의 기본권을 침해한다고 주장하면서, 2019.6.18."
151537,전문,16,이 사건 헌법소원심판을 청구하였다.
151537,전문,17,2.판단
151537,전문,18,"가.우선 청구인은 이 사건 조항들이 청구인의 기본권을 침해한다고 주장하면서 헌법소원심판을 청구하였으나, 이 사건에서 청구인이 실질적으로 다투고자 하는 바는, 청구인이 주장하는 부작위상태가 해소되지 않았고, 시청 홈페이지 게시판을 소하천정비법 시행령 제4조 제5항 소정의 ‘게시판’으로 볼 수 없으며, 소하천정비종합계획을 고시할 때 소하천정비법 시행규칙 제2조 제4항에 따라 소하천예정지의 세목조서, 지형도면 등을 첨부하여야 함에도 불구하고 이와 달리 판단한 이 사건 판결들이 청구인의 기본권을 침해한다는 취지로 봄이 상당하다.원칙적으로 법원의 재판을 대상으로 하는 헌법소원심판청구는 허용되지 아니하고, 다만 헌법재판소가 위헌으로 결정한 법령을 적용함으로써 국민의 기본권을 침해한 재판에 대하여만 헌법재판소법 제68조 제1항에 의한 헌법소원심판을 청구할 수 있다(헌재 1997.12.24."
151537,전문,19,96헌마172등).
151537,전문,20,"그런데 이 사건 판결들은 헌법재판소가 위헌으로 결정한 법령을 적용한 재판이 아니어서 예외적으로 헌법소원심판의 대상이 되는 법원의 재판에 해당하지 아니하므로, 그 취소를 구하는 헌법소원심판청구도 허용될 수 없다."
151537,전문,21,"나.한편, 법령에 대한 헌법소원의 청구기간은 그 법률의 시행과 동시에 기본권의 침해를 받게 되는 경우에는 그 법률이 시행된 사실을 안 날부터 90일 이내에, 법률이 시행된 날부터 1년 이내에 헌법소원을 청구하여야 하고, 법률이 시행된 뒤에 비로소 그 법률에 해당되는 사유가 발생하여 기본권의 침해를 받게 되는 경우에는 그 사유가 발생하였음을 안 날부터 90일 이내에, 그 사유가 발생한 날부터 1년 이내에 헌법소원을 청구하여야 한다(헌재 2015.4.30."
151537,전문,22,2012헌마38).
151537,전문,23,"설령 청구인의 주장 취지가, 소하천정비법 시행령 제4조 제5항, 구 소하천정비법 시행규칙 제2조 제2항에서의 ‘게시판’의 의미가 불명확하여 청구인의 기본권을 침해한다는 것이라 하더라도(청구인은 소하천정비법 시행규칙 제2조 제5항에 대하여도 언급하고 있으나 위 조항은 ‘게시판’을 규정하고 있지 않으므로 이는 제외하기로 한다), 청구인은 부작위위법확인소송을 제기하기 전에 강원도행정심판위원회에 행정심판을 청구하였고, 강원도행정심판위원회는 2017.7.24."
151537,전문,24,"‘원주시장이 이 사건 고시를 원주시청 홈페이지 게시판에 게재하여 행정절차를 완료한 이상, 홈페이지 게시방법은 법에서 정한 고시방법이 아니라는 청구인의 주장은 이유 없다.’면서 청구인의 청구를 기각하였는바, 그렇다면 청구인은 부작위위법확인소송을 제기한 2017.8.28."
151537,전문,25,무렵에는 위 조항의 ‘게시판’에 온라인 상의 게시판도 포함되는지 불분명하여 기본권 침해사유가 발생하였음을 알았다 할 것이다.따라서 그로부터 90일이 경과한 2019.6.18.에야 제기된 이 사건 심판청구는 청구기간을 준수하지 못하였다.
151537,전문,26,3.결론
151537,전문,27,"그렇다면 이 사건 심판청구는 어느 모로 보나 부적법하므로 헌법재판소법 제72조 제3항 제1호 후단 및 제2호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
