결정례일련번호,구분,문장번호,내용
51173,전문,1,사 건 2016헌아125 교도소 등 수용자 보장가구 제외 위헌확인(재심)청 구 인 박 ○ 희
51173,전문,2,재심대상결정 헌법재판소 2016.7.19.
51173,전문,3,2016헌마562 결정
51173,전문,4,헌법재판소 2016.7.19.
51173,전문,5,2016헌아109 결정
51173,전문,6,헌법재판소 2016.7.19.
51173,전문,7,2016헌사518 결정
51173,전문,8,헌법재판소 2016.7.19.
51173,전문,9,2016헌아111 결정
51173,전문,10,[주 문]
51173,전문,11,이 사건 심판청구를 각하한다.[이 유]
51173,전문,12,1.사건개요
51173,전문,13,가.청구인은 서울남부지방법원 2015.10.30.
51173,전문,14,"선고 2015고단3490 판결, 서울남부지방법원 2016.4.29."
51173,전문,15,"선고 2015노1781 판결, 대법원 2016.6.24."
51173,전문,16,선고 2016도6752 판결에 관여한 검사와 판사의 위법한 공권력 행사로 말미암아 기본권을 침해받았다고 주장하며 그 위헌확인을 구하는 헌법소원심판을 청구하였으나 2016.7.19.
51173,전문,17,각하되었다(2016헌마562).
51173,전문,18,"나.청구인은 ① 청구인에 대한 사회보장급여 정지통보, ② 대법원 2015.4.6."
51173,전문,19,"선고 2015도3096 판결, 서울남부지방법원 2015.4.23."
51173,전문,20,"선고 2014고단2450, 2745(병합), 4861(병합)판결, 서울남부지방법원 2015.10.30."
51173,전문,21,"선고 2015고단3490 판결, 서울중앙지방법원 2016.4.21."
51173,전문,22,"선고 2014가합34749 판결, ③ 서울남부지방검찰청 2014년 형제21584호, 2014년 형제38295호, 2014년 형제48810호 공소제기처분들의 위헌확인을 구하는 헌법소원심판을 청구하였으나 2016.6.1."
51173,전문,23,각하되었다(2016헌마386).
51173,전문,24,청구인은 위 2016헌마386 결정의 취소를 구하는 재심청구를 하였으나 2016.7.19.
51173,전문,25,각하되었다(2016헌아109).
51173,전문,26,다.청구인은 문○ ○ 자를 상대로 제기한 임대차보증금반환청구의 소를 기각한 판결 등의 취소를 구하는 헌법소원심판을 청구하였다가 2016.5.24.
51173,전문,27,각하되었다(2016헌마385).
51173,전문,28,청구인은 위 각하결정에 대한 이의신청을 하였다가 2016.6.21.
51173,전문,29,"각하되자(2016헌사428), 다시 위 2016헌사428 결정에 대한 이의신청을 하였으나 2016.7.19."
51173,전문,30,각하되었다(2016헌사518 결정).
51173,전문,31,라.청구인은 구치소에 수용 중인 자를 국민기초생활 보장법에 의한 개별가구에서 제외한 국민기초생활 보장법 관련 규정 및 보건복지부장관의 민원회신에 대하여 헌법소원심판을 청구하였다가 2016.6.28.
51173,전문,32,각하되었다(2016헌마491).
51173,전문,33,청구인은 위 2016헌마491 결정의 취소를 구하는 재심청구를 하였으나 2016.7.19.
51173,전문,34,각하되었다(2016헌아111).
51173,전문,35,"마.청구인은 2016헌마562, 2016헌아109, 2016헌사518, 2016헌아111 결정에 대한 재심을 구한다고 주장하며 2016.7.29."
51173,전문,36,이 사건 헌법소원심판을 청구하였다.
51173,전문,37,2.판단
51173,전문,38,"헌법재판소법 제40조 제1항에 따라 중복제소를 금지하고 있는 민사소송법 제259조가 헌법소원심판에 준용되므로, 이미 우리 재판소에 헌법소원심판이 계속중인 사건에 대하여는 당사자는 다시 동일한 헌법소원심판을 청구할 수 없다(헌재 2007.6.28."
51173,전문,39,2004헌마643 참조).
51173,전문,40,청구인은 이미 2016.7.29.
51173,전문,41,"2016헌마562, 2016헌아109, 2016헌사518, 2016헌아111 결정에 대한 재심을 청구하였고(2016헌아122), 그 사건은 현재 심판 계속 중이다.그럼에도 청구인은 다시 같은 결정들에 대하여 재심을 청구하였으므로, 이 사건 심판청구는 위 2016헌아122 사건과 중복된다."
51173,전문,42,3.결론
51173,전문,43,이 사건 심판청구는 부적법하므로 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
