결정례일련번호,구분,문장번호,내용
151621,전문,1,사 건 2019헌마685 문화재 이용 차별 위헌확인
151621,전문,2,청 구 인 진○○○
151621,전문,3,[주 문]
151621,전문,4,이 사건 심판청구를 각하한다.[이 유]
151621,전문,5,1.사건개요
151621,전문,6,"청구인은, 자신이 구 ○○역사 앞에 앉아 있을 때에는 보안요원이 앉지 말라는 제지를 하였는데, 2019.6.28.경 ○○노동조합이 구 ○○역사 부근에서 집회를 개최하였을 때에는 보안요원이 아무런 제지를 하지 않는 등 차별이 존재한다고 주장하면서, 2019.6.29."
151621,전문,7,보안요원의 제지행위에 대하여 이 사건 헌법소원심판을 청구하였다.
151621,전문,8,2.판단
151621,전문,9,"헌법재판소법 제40조 제1항에 의하면 민사소송법이 헌법소원심판에 준용되는 것이므로 중복제소를 금지하고 있는 민사소송법 제259조가 헌법소원심판에도 준용된다고 할 것이고, 따라서 이미 재판소에 헌법소원심판이 계속 중인 사건에 대하여는 당사자는 다시 동일한 헌법소원심판을 청구할 수 없다고 해석하여야 한다(헌재 2007.6.28."
151621,전문,10,"2004헌마643, 판례집 19-1, 843, 849)."
151621,전문,11,그런데 청구인은 이 사건 심판청구에 앞서 이미 동일한 내용의 헌법소원심판을 청구하여 현재 계속 중이다(2019헌마684).
151621,전문,12,"따라서 이 사건 심판청구는 헌법재판소법 제40조 제1항, 민사소송법 제259조에 따라 허용되지 않는 중복제소에 해당한다."
151621,전문,13,3.결론
151621,전문,14,"그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이 사건 심판청구를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
