결정례일련번호,구분,문장번호,내용
189007,전문,1,【당 사 자】
189007,전문,2,사		건	2024헌마166    재판취소
189007,전문,3,청	구	인	김○○○
189007,전문,4,결	정	일	2024.2.27.
189007,전문,5,【주 문】
189007,전문,6,이 사건 심판청구를 각하한다.【이 유】
189007,전문,7,헌법재판소는 이미 심판을 거친 동일한 사건에 대하여는 다시 심판할 수 없다(헌법재판소법 제39조).
189007,전문,8,"따라서 헌법소원심판청구가 부적법하다고 하여 헌법재판소가 각하 결정을 하였을 경우에는, 그 각하 결정에서 판시한 요건의 흠결을 보정할 수 있는 때에 한하여 그 요건의 흠결을 보정하여 다시 심판청구를 하는 것은 별론으로 하고, 그러한 요건의 흠결을 보완하지 아니한 채로 동일한 내용의 심판청구를 되풀이하는 것은 허용될 수 없다(헌재 2002.9.19."
189007,전문,9,2002헌마422 참조).
189007,전문,10,청구인은 서울중앙지방법원 2023.7.14.
189007,전문,11,"선고 2023고합97 판결, 서울고등법원 2023.11.10."
189007,전문,12,선고 2023노2216 판결 및 대법원 2024.1.12.자 2023도17082 결정(이하 ‘이 사건 재판들’이라 한다)이 청구인의 기본권을 침해하였다고 주장하며 2024.1.24.
189007,전문,13,"헌법소원심판을 청구하였고, 이 사건 재판들이 헌법소원의 대상이 되는 예외적인 법원의 재판에 해당하지 않는다는 이유로 각하 결정을 받은 바 있다(헌재 2024.2.6."
189007,전문,14,2024헌마101).
189007,전문,15,"이러한 흠결은 보정할 수 있는 것이 아니므로, 이 사건 재판들에 대하여 다시 이 사건 헌법소원심판을 청구하는 것은 헌법재판소법 제39조의 일사부재리 원칙에 위반된다.그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
189007,전문,16,"재판장,김○,이○,김○"
