결정례일련번호,구분,문장번호,내용
47190,전문,1,사 건 2015헌아77 공권력 행사 위헌확인(재심)청 구 인 이 ○ 형
47190,전문,2,재심대상결정 헌법재판소 2012.7.3.
47190,전문,3,2012헌마492 결정
47190,전문,4,[주 문]
47190,전문,5,이 사건 심판청구를 각하한다.[이 유]
47190,전문,6,1.사건개요
47190,전문,7,"청구인은 아동ㆍ청소년의 성보호에 관한 법률 위반(강간등)및 강제추행 혐의로 기소되어{청주지방검찰청 2010형제28819, 2010형제32405(병합)}, 법원으로부터 징역 1년 6월에 집행유예 3년, 치료감호에 처하는 판결을 선고받아 그 판결이 확정되었다(청주지방법원 2010고합298; 대전고등법원 청주부 2012노12; 대법원 2012도3731)."
47190,전문,8,청구인은 2012.5.26.
47190,전문,9,"위 사건 수사기관의 편파수사 및 공소제기의 위헌확인을 구하는 헌법소원심판을 청구하여 각하되었고(2012헌마492), 2015.6.12."
47190,전문,10,"위 2012헌마492 결정에 대한 재심을 청구하여 각하되자(2015헌아65), 2015.7.10."
47190,전문,11,다시 위 2012헌마492 결정에 대한 재심을 구하는 이 사건 헌법소원심판을 청구하였다.
47190,전문,12,2.판단
47190,전문,13,재심청구인은 민사소송법 제451조 제1항 각 호의 사유 중 헌법소원심판에 대한 재심의 성질상 허용되는 사유를 재심청구의 이유로 주장하여야 하는데(헌재 2007.2.22.
47190,전문,14,"2006헌아50 참조), 기록을 살펴보아도 청구인은 위 재심사유에 해당한다고 볼 만한 주장을 하고 있지 아니하므로, 이 사건 재심청구는 부적법하다."
47190,전문,15,3.결론
47190,전문,16,그렇다면 헌법재판소법 제72조 제3항 제4호에 의하여 이 사건 재심청구를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
